Story Date,Story URL,Headline,What (Claim),About Subject,About Person,Featured Image,Tags
6th May 2024,https://www.vishvasnews.com/politics/fact-check-the-2012-incident-of-protesters-lungi-catching-fire-viral-with-fake-claims/,Fact Check: प्रदर्शनकारियों की लुंगी में आग लगने की 2012 की घटना को फर्जी दावे के साथ किया जा रहा है वायरल,"कर्नाटक में मोदी का पुतला जलाते समय पांच कांग्रेसियों की लुंगी में आग लग गई! देखें कैसे हुआ यह सब। अब मोदी जी के पुतले भी सबक सिखाने लग गये मोदी जी के विरोध मे प्रचार करने वाले जरा संभलकर, *मोदी जी पॉवर।",Karnataka Congress,Congress voters,https://www.vishvasnews.com/wp-content/uploads/2024/05/Fake_News_24-15.jpg,"Congress,Lok Sabha Election 2024"
4th May 2024,https://www.vishvasnews.com/viral/fact-check-karnataka-ballari-kalyan-jewelers-showroom-explosion-false-claim-of-terror-angle/,"Fact Check: कर्नाटक में ज्वेलरी शोरूम में एसी वेंट में आग लगने से हुआ था धमाका, आतंकी साजिश का दावा गलत",बल्लारी में कल्याण ज्वैलर्स के शोरूम में आतंकी हमला हुआ है।,Karnataka ballari kalyan jewelers showroom explosion,kalyan jewelers,https://www.vishvasnews.com/wp-content/uploads/2024/05/fake-0-1.jpg,"Ballari,Fact Check,Kalyan Jewelers,Karnataka"
4th May 2024,https://www.vishvasnews.com/politics/fact-check-this-woman-praising-pm-modi-is-not-cpm-leader-suhasini-ali/,Fact Check : पीएम मोदी की बड़ाई करती यह महिला CPI(M) नेता सुभाषिनी अली नहीं हैं,राहुल गाँधी की बजाय देश को प्रधानमंत्री मोदी को वोट देना चाहिए,Praises for PM Modi,Subhashini Ali,https://www.vishvasnews.com/wp-content/uploads/2024/05/Fake_News_24-14.jpg,"BJP,Congress,CPM,Lok Sabha Election 2024,PM Modi,Suhasini Ali"
4th May 2024,https://www.vishvasnews.com/politics/fact-check-clipped-video-of-adhir-ranjan-chaudhary-viral-with-misleading-claim/,Fact Check: अधीर रंजन चौधरी के भाषण की आधी-अधूरी वीडियो को शेयर कर फैलाया जा रहा है भ्रम,कांग्रेस नेता अधीर रंजन चौधरी का कहना है कि टीएमसी के बजाय बीजेपी को वोट देना बेहतर है… पश्चिम बंगाल में जल्द ही बीजेपी की भारी जीत होने वाली है।,Bengal Congress,Adhir Ranjan Chaudhary,https://www.vishvasnews.com/wp-content/uploads/2024/05/fake-8.jpg,"Congress,West Bengal,West Bengal BJP"
4th May 2024,https://www.vishvasnews.com/politics/fact-check-assam-dima-hasao-hofflong-constituency-voting-2021-case-falsely-link-to-loksabha-election-2024/,"Fact Check: असम के दीमा हसाओ में एक बूथ पर 90 वोटर होने के बावजूद 171 वोट पड़ने का मामला पुराना, लोकसभा चुनाव से नहीं है संबंध","असम के दीमा हसाओ जिले में एक बूथ पर कुल वोटर 90 थे, जबकि ईवीएम में 171 वोट पड़े।",assam dima hasao hofflong constituency voting,assam dima hasao,https://www.vishvasnews.com/wp-content/uploads/2024/05/fake.jpg,"Assam,Assembly election,Dima Hasao,Election Fact Check,Fact Check,Hofflong constituency,Loksabha Election 2024"
6th May 2024,https://www.vishvasnews.com/politics/fact-check-ysr-politician-viral-video-misattributed-to-chhattisgarh-sdm-nikita-singh/,Fact Check : वाईएसआर नेता के वीडियो को काल्पनिक एसडीएम के नाम से किया जा रहा वायरल, छत्तीसगढ़ की SDM निकिता सिंह ने मस्जिद के लिए दी जगह और उस जगह पर नमाज भी पढ़वाई।,Chhattisgarh's SDM Nikita Singh gave a place for the mosque ,SDM Nikita Singh,https://www.vishvasnews.com/wp-content/uploads/2024/05/vishvasnews1-24.jpg,"Chattisgarh News,Fact Check,SDM Nikita Singh,viral video,YSR Politician Viral Video"
3rd May 2024,https://www.vishvasnews.com/politics/fact-check-viral-clip-claiming-to-read-prayers-of-joe-biden-video-made-from-synthetic-media-ai/,"Fact Check: जो बाइडन का दुआ पढ़ने के दावे से वायरल क्लिप सिंथेटिक मीडिया, AI से बनाया गया है वीडियो",ईरानी हमलों के बाद बाइडन मौला अली (सल्ल.) से मरवी दुआ-ए-कामिल पढ़ने लगे।,Joe Biden speaking about arabic dua ,Joe Biden/ AI Video ,https://www.vishvasnews.com/wp-content/uploads/2024/05/fake-0-2.jpg,"AI,Arabic verse,Joe Biden,viral video"
3rd May 2024,https://www.vishvasnews.com/politics/fact-check-congress-and-bjp-both-are-contending-in-over-272-lok-sabha-seats-elections-viral-news-is-false/,"Fact Check: BJP ही नहीं, कांग्रेस भी लड़ रही है 272 से अधिक लोकसभा सीटों पर चुनाव", 2024 लोकसभा चुनाव में केवल बीजेपी ही 272 से अधिक सीटों पर चुनाव लड़ रही है।,In 2024 Lok Sabha elections only BJP is contesting on more than 272 seats.,"BJP, Congress, Loksabha Elections 2024",https://www.vishvasnews.com/wp-content/uploads/2024/05/vishvasnews-7.jpg,"BJP Lok Sabha Seats,BJP vs Congress,Congress Lok Sabha Seats,Election 2024,Election Fact Check,Lok Sabha Election 2024,Lok Sabha Elections"
3rd May 2024,https://www.vishvasnews.com/politics/fact-check-up-cm-yogi-adityanath-fake-video-viral/,"Fact Check: यूपी सीएम योगी आदित्यनाथ का एडिटेड वीडियो किया गया शेयर, पीएम मोदी नहीं सपा नेत्री पर साधा था निशाना",योगी आदित्यनाथ पीएम मोदी के खिलाफ हो गए हैं।,up cm fake video ,yogi adityanath,https://www.vishvasnews.com/wp-content/uploads/2024/05/vishvasnews-3.jpg,"Election Fact Check,Fact Check,fake video,Loksabha Election 2024,UP CM Yogi Adityanath"
3rd May 2024,https://www.vishvasnews.com/english/viral/fact-check-claim-of-cows-being-exported-from-gujarats-adani-port-is-fake-viral-video-not-from-india/,"Fact Check: Claim Of Cows Being Exported From Gujarat’s Adani Port is FAKE, Viral Video Not From India",Cows are being sent to Arab countries from Gujarat Adani Port.,Cows are being sent to Arab countries from Gujarat Adani Port.,Adani Airport,https://www.vishvasnews.com/wp-content/uploads/2024/05/vishvasnews-86.jpg,"Adani,Adani Port,Cow"
3rd May 2024,https://www.vishvasnews.com/politics/fact-check-stopping-during-azaan-is-a-regular-practice-amongst-politicians-viral-claim-about-rahul-gandhi-is-malinformation/,"Fact Check: अज़ान के वक्त नेताओं का भाषण रोकना सामान्य परिपाटी, राहुल गांधी को लेकर किया जा रहा दावा भ्रामक व सांप्रदायिक","अजान की आवाज सुनकर राहुल ने रोका अपना भाषण। ये देख लो अपने धर्म के पक्के, फिरोज खान के पोते। The Reality",Rahul Gandhi Azaan,Rahul Gandhi,https://www.vishvasnews.com/wp-content/uploads/2024/05/vishvasnews-85.jpg,"Islam,Lok Sabha Election 2024,Rahul Gandhi"
3rd May 2024,https://www.vishvasnews.com/politics/fact-check-old-video-of-bangladeshi-maulana-sparks-communal-claims-amid-lok-sabha-election-2024/,Fact Check : बांग्लादेशी मौलाना के पुराने वीडियो को भारत के चुनावी संदर्भ में सांप्रदायिक दावे से किया जा रहा शेयर, लोकसभा चुनाव 2024 के बीच मौलवी ने हिंदूओं को धमकी दी।,Maulvi threatens Hindus amid Lok Sabha elections 2024.,Congress,https://www.vishvasnews.com/wp-content/uploads/2024/05/vishvasnews1-22.jpg,"Bangladeshi Maulana Indian elections,Bangladeshi Maulana video,Election 2024,Fact Check,Fake News viral,Lok Sabha Election 2024"
3rd May 2024,https://www.vishvasnews.com/politics/fact-check-dainik-bhaskar-fake-opinion-poll-on-punjab-loksabha-election-2024-viral/,Fact Check: दैनिक भास्कर के नाम से पंजाब की 13 लोकसभा सीटों को लेकर वायरल हो रहा सर्वे फेक है,पंजाब की लोकसभा सीटों को लेकर दैनिक भास्कर के सर्वे में आम आदमी पार्टी को 9-11 सीटें मिल सकती हैं।,opinion poll on punjab loksabha election 2024 ,dainik bhaskar,https://www.vishvasnews.com/wp-content/uploads/2024/05/vishvasnews-1-1.jpg,"Dainik Bhaskar,Election Fact Check,Fact Check,Loksabha Election 2024,Punjab"
3rd May 2024,https://www.vishvasnews.com/politics/fact-check-gujarat-ceo-claim-of-evm-malfunction-live-demo-revealed-as-false-video-features-atul-patel/,"Fact Check: गुजरात के CEO के EVM में गड़बड़ी के लाइव डेमो देने का दावा फेक, वीडियो में नजर आ रहे व्यक्ति अतुल पटेल हैं",गुजरात के CEO ने EVM में गड़बड़ी लाइव डेमो दिया।,Gujarat CEO gave live demo of EVM glitches.,"Gujarat CEO, Live demo of EVM",https://www.vishvasnews.com/wp-content/uploads/2024/05/WhatsApp-Image-2024-05-03-at-12.25.48-PM.jpeg,"Atul Patel,Atul Patel Video EVM Demo,Election 2024,Election Fact Check,Fake EVM Claim,fake news,Lok Sabha Election 2024"
3rd May 2024,https://www.vishvasnews.com/politics/fact-check-girl-seen-with-rahul-gandhi-not-amulya-who-raised-pakistan-zindabad-slogans/,"Fact Check : राहुल के साथ नजर आ रही यह लड़की ‘पाकिस्तान जिंदाबाद’ का नारे लगाने वाली अमूल्या नहीं, वायरल दावा गलत",असदुद्दीन ओवैसी की रैली में ‘पाकिस्तान जिंदाबाद’ के नारे लगाने वाली लड़की अमूल्या लियोना राहुल गांधी से मिली।, Rahul Gandhi.hugged Amulya Leona,"Amulya Leona, Rahul Gandhi",https://www.vishvasnews.com/wp-content/uploads/2024/05/Fake_News_24-19.jpg,"Election 2024,Fact Check,Fake News Alert,Pakistan Zindabad Slogans,Rahul Gandhi"
2nd May 2024,https://www.vishvasnews.com/politics/fact-check-the-2016-incident-of-mp-is-being-shared-with-misleading-claims-ahead-of-the-third-phase-of-the-lok-sabha-elections/,Fact Check: MP की 2016 की घटना को लोकसभा चुनाव के तीसरे चरण से पहले भ्रामक दावे से किया जा रहा शेयर, पंचायत सचिव की धमकी पर बीमार बेटी के साथ प्रधानमंत्री का भाषण सुनने पहुंची महिला सरपंच।,The Panchayat Secretary's threat came to listen to the Prime Minister's speech with a sick daughter.,"Panchayat Secretary, Prime Minister's speech",https://www.vishvasnews.com/wp-content/uploads/2024/05/WhatsApp-Image-2024-05-02-at-4.50.27-PM.jpeg,"Election Fact Check,Lok Sabha Election 2024,Madhya pradesh shivpuri Incident,Panchayat Secretary,Woman Sarpanch"
2nd May 2024,https://www.vishvasnews.com/politics/fact-check-maharashtra-former-cm-uddhav-thackeray-was-not-stopped-by-leaders-in-wardha-maharashtra-rally/,"Fact Check: वर्धा में हुई रैली में उद्धव ठाकरे को बोलने से नहीं रोका गया, वायरल दावा गलत",कांग्रेस नेताओं ने उद्धव ठाकरे को रैली में बोलने नहीं दिया।,maharashtra former cm stopped in rally,uddhav thackeray ,https://www.vishvasnews.com/wp-content/uploads/2024/05/vishvasnews-1.jpg,"Election Fact Check,Fact Check,Loksabha Election 2024,Maharashtra,Uddhav Thackeray,wardha"
