Query,Top Matched Article
"Through her account on X, Kareena Kapoor Khan addressed the subjects of Shami, Siraj, and Wicket Jihad.","Fact Check: Kareena Kapoor Khan Not On X, Viral Post On Cricket Shared By Fan Page"
Real footage of Robot vs. Human in Badminton,Fact Check: Viral Video Of Robot Playing Badminton With Humans Is Edited
Authentic video capture of a robot competing against a human in badminton.,Fact Check: Viral Video Of Robot Playing Badminton With Humans Is Edited
Genuine recording of a badminton match between a robot and a human.,Fact Check: Viral Video Of Robot Playing Badminton With Humans Is Edited
Actual visual evidence of a robot dueling with a human in a game of badminton.,Fact Check: Viral Video Of Robot Playing Badminton With Humans Is Edited
The viral picture is of the couple Amit and Neer attending the music festival. Both died in the attack on Israel.,"Fact Check: Couple At Concert Escaped Safely After Hamas Attack On Israel, Viral Claim Misleading"
"The widespread image features Amit and Neer at a music festival, who were casualties in an assault in Israel.","Fact Check: Couple At Concert Escaped Safely After Hamas Attack On Israel, Viral Claim Misleading"
"Amit and Neer, depicted in the trending photo at a festival, succumbed to an attack in Israel.","Fact Check: Couple At Concert Escaped Safely After Hamas Attack On Israel, Viral Claim Misleading"
"The couple in the popular photo, identified as Amit and Neer, perished during an incident in Israel.","Fact Check: Couple At Concert Escaped Safely After Hamas Attack On Israel, Viral Claim Misleading"
"When Rahul Gandhi was confronted with a challenging question during an interview, he remained silent and could not answer.",Fact Check: Edited Clip From Rahul Gandhi's Old Interview Viral With Misleading Claim
Rahul Gandhi's interview silence becomes evident when faced with a tough inquiry.,"Fact Check: Rahul Gandhi Never Said He Or His Family Is Muslim, Edited Breaking Plate Viral"
Rahul Gandhi's mute response to a tough interview question raises eyebrows.,Fact Check: Edited Clip From Rahul Gandhi's Old Interview Viral With Misleading Claim
"Confronted by a difficult question in an interview, Rahul Gandhi's silence spoke volumes.",Fact Check: Edited Clip From Rahul Gandhi's Old Interview Viral With Misleading Claim
Kareena Kapoor expressed her opinion on the recent situation in the country by tweeting,Fact Check: Post By Parody Account Of Kareena Kapoor Shared With Misleading Claim
Kareena Kapoor takes to Twitter to voice her thoughts on the country's current events.,Fact Check: Post By Parody Account Of Kareena Kapoor Shared With Misleading Claim
"Through a tweet, Kareena Kapoor shares her stance on recent national developments.",Fact Check: Post By Parody Account Of Kareena Kapoor Shared With Misleading Claim
Kareena Kapoor's tweet reveals her take on the prevailing conditions in the nation.,Fact Check: Post By Parody Account Of Kareena Kapoor Shared With Misleading Claim
Mukesh Ambani endorsed an investment scheme,Fact Check: This Video Claiming To Show Mukesh Ambani Is A Deepfake
Mukesh Ambani throws his support behind a new financial venture.,Fact Check: This Video Claiming To Show Mukesh Ambani Is A Deepfake
Investment strategy gains backing from Mukesh Ambani.,Fact Check: This Video Claiming To Show Mukesh Ambani Is A Deepfake
A recent investment initiative receives Mukesh Ambani's endorsement.,Fact Check: This Video Claiming To Show Mukesh Ambani Is A Deepfake
This five-star bus to ferry visitors from Ayodhya airport to Janmabhoomi soon,"Fact Check: Viral Image Of Three-story Bus In Ayodhya Created Using Artificial Intelligence, Shared With Misleading Claim"
Luxury bus service soon to connect Ayodhya airport with Janmabhoomi for visitors.,"Fact Check: Viral Image Of Three-story Bus In Ayodhya Created Using Artificial Intelligence, Shared With Misleading Claim"
Ayodhya to launch a premium bus for airport-Janmabhoomi transit.,"Fact Check: Viral Image Of Three-story Bus In Ayodhya Created Using Artificial Intelligence, Shared With Misleading Claim"
Visitors to Ayodhya airport to enjoy five-star bus rides to Janmabhoomi shortly.,"Fact Check: Viral Image Of Three-story Bus In Ayodhya Created Using Artificial Intelligence, Shared With Misleading Claim"
Former Indian cricketer Sunil Gavaskar has criticized BCCI regarding Cricket World Cup 2023.,Fact Check: Sunil Gavaskar Did Not Criticise BCCI Over Poor Management Of Cricket World Cup 2023
Sunil Gavaskar takes a stand against BCCI's handling of World Cup 2023 preparations.,Fact Check: Sunil Gavaskar Did Not Criticise BCCI Over Poor Management Of Cricket World Cup 2023
Gavaskar voices concerns over BCCI's World Cup 2023 strategy.,Fact Check: Sunil Gavaskar Did Not Criticise BCCI Over Poor Management Of Cricket World Cup 2023
Cricket legend Sunil Gavaskar publicly censures BCCI over World Cup 2023 issues.,Fact Check: Sunil Gavaskar Did Not Criticise BCCI Over Poor Management Of Cricket World Cup 2023
Rahul Gandhi seen wearing a red shirt with the number 420 on his badge,Fact Check: Edited Photos Of Rahul Gandhi With Badge Number 420 Going Viral
Image captures Rahul Gandhi in a red shirt emblazoned with badge number 420.,Fact Check: Edited Photos Of Rahul Gandhi With Badge Number 420 Going Viral
Rahul Gandhi's attire in question: a red shirt with badge 420.,Fact Check: Edited Photos Of Rahul Gandhi With Badge Number 420 Going Viral
Rahul Gandhi spotted in a red shirt marked with the controversial number 420.,Fact Check: Edited Photos Of Rahul Gandhi With Badge Number 420 Going Viral
PM Narendra Modi sought votes for India Alliance,Fact Check: Old Video Of Prime Minister Modi Circulating With Misleading Claims About INDIA Alliance
PM Modi campaigns for votes favoring the India Alliance.,Fact Check: Old Video Of Prime Minister Modi Circulating With Misleading Claims About INDIA Alliance
"In a political plea, PM Modi asks for votes for the India Alliance.",Fact Check: Old Video Of Prime Minister Modi Circulating With Misleading Claims About INDIA Alliance
PM Modi's call to action: Vote for the India Alliance.,"Fact Check: Edited Video Clip Of 2020 Quad Summit Linked To PM Modi's US State Visit, Shared With Misleading Claim"
PM Modi and the US President are walking wearing kurta-pajama.,Fact Check: Viral Photos Of PM Modi And US President Joe Biden Are AI-Generated
Sartorial diplomacy: PM Modi and the US President don kurta-pajamas for a walk.,Fact Check: Viral Photos Of PM Modi And US President Joe Biden Are AI-Generated
"PM Modi and the US President make a statement, strolling in traditional kurta-pajamas.",Fact Check: Viral Photos Of PM Modi And US President Joe Biden Are AI-Generated
A walk to remember: PM Modi and the US President clad in kurta-pajamas.,Fact Check: Viral Photos Of PM Modi And US President Joe Biden Are AI-Generated
"The Rajasthan government has made a new law, under which misbehavior with the staff of a mosque or madrasa can lead to a punishment of three years.","Fact Check: Claim Of Getting Three Years Of Imprisonment For Misbehaving With Mosque, Madarasa Staff In Rajasthan Is Fake"
Rajasthan's new legislation imposes a three-year penalty for misconduct with mosque or madrasa staff.,"Fact Check: Claim Of Getting Three Years Of Imprisonment For Misbehaving With Mosque, Madarasa Staff In Rajasthan Is Fake"
"In Rajasthan, disrespecting mosque or madrasa personnel may now incur a three-year sentence.","Fact Check: Claim Of Getting Three Years Of Imprisonment For Misbehaving With Mosque, Madarasa Staff In Rajasthan Is Fake"
Rajasthan enacts law: Three years' punishment for ill-treating mosque or madrasa employees.,"Fact Check: Claim Of Getting Three Years Of Imprisonment For Misbehaving With Mosque, Madarasa Staff In Rajasthan Is Fake"
Video of Earth recorded from the moon during the Chandrayaan-3 mission.,Fact Check: Edited Video Of Earth Going Viral In The Name Of Chandrayaan-3 Mission
Chandrayaan-3 mission captures stunning Earth video from the lunar perspective.,Fact Check: Edited Video Of Earth Going Viral In The Name Of Chandrayaan-3 Mission
"From the moon's vantage, Chandrayaan-3 mission records Earth.",Fact Check: Edited Video Of Earth Going Viral In The Name Of Chandrayaan-3 Mission
Chandrayaan-3 offers a lunar view of Earth in a recent video release.,Fact Check: Edited Video Of Earth Going Viral In The Name Of Chandrayaan-3 Mission
This video of auto overturning in stray cattle fight is from UP,Fact Check: Bull Fight Video Going Viral With Misleading Claims
"Clash of strays in UP results in an auto-rickshaw's capsize, video shows.",Fact Check: Video Of Balasore Train Accident Going Viral With False Claim Related To Train Crash In Pakistan
Video documents an auto flipping over amid a stray cattle brawl in UP.,Fact Check: Bull Fight Video Going Viral With Misleading Claims
UP incident caught on video: Auto topples during stray cattle skirmish.,Fact Check: Bull Fight Video Going Viral With Misleading Claims
Muslims raised slogans of Pakistan Zindabad during the Gadar 2 show,Fact Check: 'Pakistan Zindabad' Slogans Were Not Raised During Gadar 2 Show In Bareilly Cinema Hall; Viral Claim Fake
"During Gadar 2 screening, chants of 'Pakistan Zindabad' were reportedly made by Muslim individuals.",Fact Check: 'Pakistan Zindabad' Slogans Were Not Raised During Gadar 2 Show In Bareilly Cinema Hall; Viral Claim Fake
Claims arise of Muslims shouting 'Pakistan Zindabad' at a Gadar 2 film showing.,Fact Check: 'Pakistan Zindabad' Slogans Were Not Raised During Gadar 2 Show In Bareilly Cinema Hall; Viral Claim Fake
Allegations surface of 'Pakistan Zindabad' slogans by Muslims at Gadar 2 event.,Fact Check: 'Pakistan Zindabad' Slogans Were Not Raised During Gadar 2 Show In Bareilly Cinema Hall; Viral Claim Fake
Bus Route 420 in Bengaluru,"Fact Check: There's No Bus Route 420 in Bengaluru, Viral Photo Mocking Politicians Is Edited"
The existence of Bus Route 420 becomes a talking point in Bengaluru.,"Fact Check: There's No Bus Route 420 in Bengaluru, Viral Photo Mocking Politicians Is Edited"
Bengaluru's public transport includes a bus with the notable number 420.,"Fact Check: Viral Image Of Three-story Bus In Ayodhya Created Using Artificial Intelligence, Shared With Misleading Claim"
Conversations sparked over Bengaluru's Bus Route 420.,"Fact Check: There's No Bus Route 420 in Bengaluru, Viral Photo Mocking Politicians Is Edited"
"Excessive use of earphones or earbuds can lead to deafness, ear infection and pain and stress, but the claim that it causes facial paralysis is false.","Fact Check: Claim Of Excessive Usage Of Earbuds, Earphones Could Cause Facial Paralysis Is False"
"Overuse of earphones may cause hearing loss and infections, yet no evidence supports facial paralysis.","Fact Check: Claim Of Excessive Usage Of Earbuds, Earphones Could Cause Facial Paralysis Is False"
"While earphones can lead to auditory issues, associating them with facial paralysis is unfounded.","Fact Check: Claim Of Excessive Usage Of Earbuds, Earphones Could Cause Facial Paralysis Is False"
"Health advisory: Earphones link to hearing problems, but facial paralysis claim debunked.","Fact Check: Claim Of Excessive Usage Of Earbuds, Earphones Could Cause Facial Paralysis Is False"
Shri Rudram Stotram was recited at the White House in America,Fact Check: Old Video Of Vedic Mantras Recital In Croatia Passed Off As Hindu Event At The White House
The White House resonates with the chanting of Shri Rudram Stotram.,Fact Check: Old Video Of Vedic Mantras Recital In Croatia Passed Off As Hindu Event At The White House
"In a historic moment, Shri Rudram Stotram echoes through the halls of the White House.",Fact Check: Old Video Of Vedic Mantras Recital In Croatia Passed Off As Hindu Event At The White House
Spiritual chants at the White House: Shri Rudram Stotram recitation in America.,Fact Check: Old Video Of Vedic Mantras Recital In Croatia Passed Off As Hindu Event At The White House
Moon Inside View capture by Chandrayaan-3,Fact Check: NASA Video Based On Apollo Mission Data Falsely Circulated as Chandrayaan-3 Footage
Chandrayaan-3 mission provides an unprecedented inside view of the Moon.,Fact Check: NASA Video Based On Apollo Mission Data Falsely Circulated as Chandrayaan-3 Footage
A glimpse within: Chandrayaan-3 captures the Moon's interior.,Fact Check: Edited Video Of Earth Going Viral In The Name Of Chandrayaan-3 Mission
Chandrayaan-3 unveils the Moon's internal landscape in a new capture.,Fact Check: Edited Video Of Earth Going Viral In The Name Of Chandrayaan-3 Mission
India's new shooting star Rhythm Sangwan broke the world record at the ongoing ISSF Shooting World Cup in Baku,Fact Check: Viral Claim About Shooter Rhythm Sangwan Breaking World Records In Baku Is Misleading
"Rhythm Sangwan, India's rising talent, shatters world record at ISSF Shooting World Cup.",Fact Check: Viral Claim About Shooter Rhythm Sangwan Breaking World Records In Baku Is Misleading
Record-breaking feat by India's Rhythm Sangwan at Baku's ISSF Shooting World Cup.,Fact Check: Viral Claim About Shooter Rhythm Sangwan Breaking World Records In Baku Is Misleading
India's sharpshooter Rhythm Sangwan hits a world record score at the ISSF event in Baku.,Fact Check: Viral Claim About Shooter Rhythm Sangwan Breaking World Records In Baku Is Misleading
Ray in 1953! No bond can match his charisma,Fact Check: This Image Of Satyajit Ray Posing With Aston Martin Is Edited
"The unmatched charm of Ray, as it stood out in 1953.","Fact Check: Videos Of Church Fire, Burning Car Yard Unrelated To France Violence"
Ray's charismatic aura of 1953 remains unparalleled.,Fact Check: This Image Of Satyajit Ray Posing With Aston Martin Is Edited
Looking back at 1953: Ray's magnetic charm stands the test of time.,Fact Check: 2016 Video Of Cristiano Ronaldo Falsely Linked To Israel-Hamas Conflict
A vegetable seller in UP's Varanasi hired bouncers to prevent customers from stealing tomatoes,Fact Check: Not Vegetable Seller But SP Leader Hired Bouncers To Protest Against Rising Tomato Prices
"To thwart tomato thefts, a Varanasi vendor enlists bouncers.",Fact Check: Not Vegetable Seller But SP Leader Hired Bouncers To Protest Against Rising Tomato Prices
"In Varanasi, a produce seller takes unique measures against theft with bouncers.",Fact Check: Not Vegetable Seller But SP Leader Hired Bouncers To Protest Against Rising Tomato Prices
A merchant in Varanasi employs security to safeguard his tomatoes from pilfering.,Fact Check: Not Vegetable Seller But SP Leader Hired Bouncers To Protest Against Rising Tomato Prices
Hindus who wish to express their support for the Uniform Civil Code should give a missed call to '9090902024',Fact Check: Phone Number Launched To Support BJP Viral With Misleading Claim About UCC
Missed call to '9090902024' becomes a symbol of Hindu support for the Uniform Civil Code.,Fact Check: Phone Number Launched To Support BJP Viral With Misleading Claim About UCC
A call to action: Hindus signaled to back Uniform Civil Code via a missed call.,Fact Check: Phone Number Launched To Support BJP Viral With Misleading Claim About UCC
'9090902024': The number to dial for Hindus backing the Uniform Civil Code.,Fact Check: Phone Number Launched To Support BJP Viral With Misleading Claim About UCC
Videos related to France violence,"Fact Check: Videos Of Church Fire, Burning Car Yard Unrelated To France Violence"
Footage emerges showcasing the recent upheaval in France.,Fact Check: Old Video Of Snowfall In JK Being Passed Off As Recent
Violent events in France captured in circulating videos.,Fact Check: Viral Video Of Cars Falling From Building Is Unrelated To France Violence
Recent disturbances in France documented in viral video content.,Fact Check: Viral Video Of Cars Falling From Building Is Unrelated To France Violence
video of violence in France,Fact Check: Viral Video Of Cars Falling From Building Is Unrelated To France Violence
A video depicting the unsettling violence in France surfaces online.,Fact Check: Viral Video Of Cars Falling From Building Is Unrelated To France Violence
"Clips of the turmoil in France spread, highlighting the violence.",Fact Check: Viral Video Of Cars Falling From Building Is Unrelated To France Violence
The internet sees a wave of videos showcasing France's violent incidents.,"Fact Check: Videos Of Church Fire, Burning Car Yard Unrelated To France Violence"
PM Modi wore Islamic cap in Egypt,Fact Check: Viral Claim That PM Modi Wore Islamic Skullcap In Egypt Is False
PM Modi adopts Islamic headgear during his visit to Egypt.,Fact Check: Viral Photos Of PM Modi And US President Joe Biden Are AI-Generated
Cultural exchange: PM Modi dons a traditional Islamic cap in Egypt.,Fact Check: Viral Claim That PM Modi Wore Islamic Skullcap In Egypt Is False
"In a gesture of respect, PM Modi is seen wearing an Islamic cap in Egypt.",Fact Check: Viral Photos Of PM Modi And US President Joe Biden Are AI-Generated
Huge crowd recites Hanuman Chalisa in Jaipur,Fact Check: Viral video claiming huge crowd recited Hanuman Chalisa in Jaipur is fake; footage is from Pakistan
Mass recitation of Hanuman Chalisa by a large assembly in Jaipur.,Fact Check: Viral video claiming huge crowd recited Hanuman Chalisa in Jaipur is fake; footage is from Pakistan
A grand chorus of Hanuman Chalisa echoes through Jaipur by countless devotees.,Fact Check: Viral video claiming huge crowd recited Hanuman Chalisa in Jaipur is fake; footage is from Pakistan
Jaipur witnesses a massive gathering chanting the Hanuman Chalisa in unison.,Fact Check: Viral video claiming huge crowd recited Hanuman Chalisa in Jaipur is fake; footage is from Pakistan
Photo related to Manipur violence,Fact Check: Photo Of Injured Woman Breastfeeding Child Is Unrelated to Ongoing Manipur Violence
Imagery emerges from the recent conflicts in Manipur.,Fact Check: Old Video Of Snowfall In JK Being Passed Off As Recent
A significant photograph captures the essence of turmoil in Manipur.,Fact Check: RBI did not ask banks to print essence of Gita on passbooks
Snapshot circulating online depicts scenes of violence in Manipur.,"Fact Check: Videos Of Church Fire, Burning Car Yard Unrelated To France Violence"
Virat Kohli announces retirement,Fact Check: Virat Kohli has not announced his retirement from cricket
Cricket icon Virat Kohli makes a declaration about his retirement.,Fact Check: Virat Kohli has not announced his retirement from cricket
"Breaking news: Virat Kohli steps away from the sport, announcing retirement.",Fact Check: Virat Kohli has not announced his retirement from cricket
Virat Kohli's retirement announcement sends waves through the cricket world.,Fact Check: Virat Kohli has not announced his retirement from cricket
PM Modi's photo on the front page of The New York Times.,Fact Check: Posts Claiming NYT Published Article Calling PM Modi 'Last Hope Of Earth' Are False
The New York Times features PM Modi on its prominent front page.,Fact Check: Viral Photos Of PM Modi And US President Joe Biden Are AI-Generated
Front and center: PM Modi's image graces the cover of The New York Times.,Fact Check: Posts Claiming NYT Published Article Calling PM Modi 'Last Hope Of Earth' Are False
A snapshot of PM Modi captures the front-page spotlight in The New York Times.,Fact Check: Viral Photos Of PM Modi And US President Joe Biden Are AI-Generated
Latest video from Manipur violence,Fact Check: Video Of Woman Being Brutally Beaten Up Is Unrelated to Manipur Violence
New footage brings to light the ongoing strife in Manipur.,Fact Check: Viral Claim About Shooter Rhythm Sangwan Breaking World Records In Baku Is Misleading
A recent video sheds light on the grave situation in Manipur.,Fact Check: Video Of Balasore Train Accident Going Viral With False Claim Related To Train Crash In Pakistan
Latest visual accounts of the violent occurrences in Manipur.,Fact Check: Video Of Woman Being Brutally Beaten Up Is Unrelated to Manipur Violence
Photograph from the wedding of Finance Minister Nirmala Sitharaman's daughter.,Fact Check: Photo From Indian Cricketer Prasidh Krishna's Wedding Going Viral With False Claims
A glimpse into the wedding of Nirmala Sitharaman's daughter through a shared photo.,Fact Check: Photo From Indian Cricketer Prasidh Krishna's Wedding Going Viral With False Claims
Captured moments from the matrimonial celebration of the Finance Minister's daughter.,Fact Check: Photo From Indian Cricketer Prasidh Krishna's Wedding Going Viral With False Claims
The wedding of Nirmala Sitharaman's daughter is showcased in a newly-released photograph.,Fact Check: Photo From Indian Cricketer Prasidh Krishna's Wedding Going Viral With False Claims
Family swept away in sea due to Cyclone Biparjoy,Fact Check: Old Video Of People Drowning In Oman Sea Falsely Linked To Cyclone Biparjoy
A family tragically caught in the sea surge amid Cyclone Biparjoy.,Fact Check: Old Video Of People Drowning In Oman Sea Falsely Linked To Cyclone Biparjoy
Cyclone Biparjoy's fury results in a family being carried off to sea.,Fact Check: Old Video Of People Drowning In Oman Sea Falsely Linked To Cyclone Biparjoy
Nature's havoc: A family meets the sea's wrath during Cyclone Biparjoy.,Fact Check: Old Video Of People Drowning In Oman Sea Falsely Linked To Cyclone Biparjoy
