Type,Claim,ChatGPT Selected Article,Top Matched Article,What_(Claim)
Rephrased,Claims suggest Yogendra Yadav's Islamic faith and his authentic name being Salim.,Fact-Check: Edited video of Yogendra Yadav going viral with false claim related to his religion,Fact Check: Incomplete Video of Yogendra Yadav Being Shared with Misleading Claims,Yogendra Yadav\'s childhood friends and family members refer to him as Salim
Rephrased,"It has been stated that Yogendra Yadav practices Islam, with Salim as his original name.",Fact Check: Incomplete Video of Yogendra Yadav Being Shared with Misleading Claims,Fact Check: Incomplete Video of Yogendra Yadav Being Shared with Misleading Claims,Yogendra Yadav is a Muslim and his real name is Salim
Rephrased,"Assertions have been made regarding Yogendra Yadav's Muslim identity and his supposed real name, Salim.",Fact-Check: Edited video of Yogendra Yadav going viral with false claim related to his religion,Fact Check: Incomplete Video of Yogendra Yadav Being Shared with Misleading Claims,Yogendra Yadav\'s childhood friends and family members refer to him as Salim
Original,Bollywood's famous comedian Tiku Talsania has accepted Islam,"Fact Check: Comedian Tiku Talsania Has Not Converted To Islam, Fake Post Viral","Fact Check: Comedian Tiku Talsania Has Not Converted To Islam, Fake Post Viral",Bollywood\'s famous comedian Tiku Talsania has accepted Islam
Rephrased,"It has been announced that Tiku Talsania, notable for his comedy in Bollywood, has converted to Islam.",Fact Check: Virat Kohli has not announced his retirement from cricket,"Fact Check: Comedian Tiku Talsania Has Not Converted To Islam, Fake Post Viral",Virat Kohli announces retirement
Rephrased,"Tiku Talsania, a celebrated figure in Bollywood's comedic scene, has reportedly turned to Islam.","Fact Check: Comedian Tiku Talsania Has Not Converted To Islam, Fake Post Viral","Fact Check: Comedian Tiku Talsania Has Not Converted To Islam, Fake Post Viral",Bollywood\'s famous comedian Tiku Talsania has accepted Islam
Rephrased,"News has surfaced about Tiku Talsania, a prominent Bollywood comedian, adopting the Islamic faith.",Fact Check: Viral Claim That PM Modi Wore Islamic Skullcap In Egypt Is False,"Fact Check: Comedian Tiku Talsania Has Not Converted To Islam, Fake Post Viral",PM Modi wore Islamic cap in Egypt
Original,Australian fan shouted Vande Matram after beating Pakistan,Fact Check: Viral Video of Australian Fan Chanting “Vande Mataram” Not from World Cup 2023,Fact Check: Viral Video of Australian Fan Chanting “Vande Mataram” Not from World Cup 2023,Australian fan shouted Vande Matram after beating Pakistan
Rephrased,An Australian supporter was heard exclaiming 'Vande Matram' subsequent to a victory over Pakistan.,Fact Check: Viral Video of Australian Fan Chanting “Vande Mataram” Not from World Cup 2023,Fact Check: Viral Video of Australian Fan Chanting “Vande Mataram” Not from World Cup 2023,Australian fan shouted Vande Matram after beating Pakistan
Rephrased,"Post victory against Pakistan, an Australian enthusiast was reported to have cried out 'Vande Matram'.",Fact Check: Viral Video of Australian Fan Chanting “Vande Mataram” Not from World Cup 2023,Fact Check: Viral Video of Australian Fan Chanting “Vande Mataram” Not from World Cup 2023,Australian fan shouted Vande Matram after beating Pakistan
Rephrased,'Vande Matram' was the chant from an Australian fan following their win against Pakistan.,Fact Check: Viral Video of Australian Fan Chanting “Vande Mataram” Not from World Cup 2023,Fact Check: Viral Video of Australian Fan Chanting “Vande Mataram” Not from World Cup 2023,Australian fan shouted Vande Matram after beating Pakistan
Original,This is what Bihar government is teaching in schools. Function of head: Lifting weights.,Fact Check: School Book Chapter About Using Head For Carrying Weight Is Unrelated To Bihar Board,Fact Check: School Book Chapter About Using Head For Carrying Weight Is Unrelated To Bihar Board,This is what Bihar government is teaching in schools. Function of head: Lifting weights.
Rephrased,Instruction in Bihar's schools by the government includes that the head's function is to lift weights.,Fact Check: School Book Chapter About Using Head For Carrying Weight Is Unrelated To Bihar Board,Fact Check: School Book Chapter About Using Head For Carrying Weight Is Unrelated To Bihar Board,This is what Bihar government is teaching in schools. Function of head: Lifting weights.
Rephrased,"Educational curricula in Bihar, as per government directives, lists weight lifting as a function of the head.",Fact Check: School Book Chapter About Using Head For Carrying Weight Is Unrelated To Bihar Board,Fact Check: School Book Chapter About Using Head For Carrying Weight Is Unrelated To Bihar Board,This is what Bihar government is teaching in schools. Function of head: Lifting weights.
Rephrased,The Bihar administration's school teachings allegedly state that the human head is for lifting weights.,Fact Check: School Book Chapter About Using Head For Carrying Weight Is Unrelated To Bihar Board,Fact Check: School Book Chapter About Using Head For Carrying Weight Is Unrelated To Bihar Board,This is what Bihar government is teaching in schools. Function of head: Lifting weights.
Original,"A Facebook user named Ibrahim Hassun shared this viral video on October 15, claiming that Ronaldo stands with Palestine.",Fact Check: 2016 Video Of Cristiano Ronaldo Falsely Linked To Israel-Hamas Conflict,Fact Check: 2016 Video Of Cristiano Ronaldo Falsely Linked To Israel-Hamas Conflict,"A Facebook user named Ibrahim Hassun shared this viral video on October 15, claiming that Ronaldo stands with Palestine."
Rephrased,"Ibrahim Hassun, a Facebook user, disseminated a trending video, asserting Ronaldo's support for Palestine.",Fact Check: 2016 Video Of Cristiano Ronaldo Falsely Linked To Israel-Hamas Conflict,Fact Check: 2016 Video Of Cristiano Ronaldo Falsely Linked To Israel-Hamas Conflict,"A Facebook user named Ibrahim Hassun shared this viral video on October 15, claiming that Ronaldo stands with Palestine."
Rephrased,"On Facebook, Ibrahim Hassun posted a widely-viewed video claiming Cristiano Ronaldo's solidarity with Palestine.",Fact Check: 2016 Video Of Cristiano Ronaldo Falsely Linked To Israel-Hamas Conflict,Fact Check: 2016 Video Of Cristiano Ronaldo Falsely Linked To Israel-Hamas Conflict,"A Facebook user named Ibrahim Hassun shared this viral video on October 15, claiming that Ronaldo stands with Palestine."
Rephrased,"A video shared by a user, Ibrahim Hassun, on Facebook went viral with claims of Ronaldo backing Palestine.",Fact Check: 2016 Video Of Cristiano Ronaldo Falsely Linked To Israel-Hamas Conflict,Fact Check: 2016 Video Of Cristiano Ronaldo Falsely Linked To Israel-Hamas Conflict,"A Facebook user named Ibrahim Hassun shared this viral video on October 15, claiming that Ronaldo stands with Palestine."
Original,"The Central Government is not giving martyr status to Agniveer, due to which Amritpal Singh was not given military honour.",Fact Check: Agniveer Amritpal Singh Did Not Get Military Honor Because He Committed Suicide,Fact Check: Agniveer Amritpal Singh Did Not Get Military Honor Because He Committed Suicide,"The Central Government is not giving martyr status to Agniveer, due to which Amritpal Singh was not given military honour."
Rephrased,"Central authorities have withheld the bestowal of martyr recognition to Agniveers, affecting Amritpal Singh's military honors.",Fact Check: Agniveer Amritpal Singh Did Not Get Military Honor Because He Committed Suicide,Fact Check: Agniveer Amritpal Singh Did Not Get Military Honor Because He Committed Suicide,"The Central Government is not giving martyr status to Agniveer, due to which Amritpal Singh was not given military honour."
Rephrased,The Central Government's refusal to grant martyrdom status to Agniveers reportedly led to Amritpal Singh missing military accolades.,Fact Check: Agniveer Amritpal Singh Did Not Get Military Honor Because He Committed Suicide,Fact Check: Agniveer Amritpal Singh Did Not Get Military Honor Because He Committed Suicide,"The Central Government is not giving martyr status to Agniveer, due to which Amritpal Singh was not given military honour."
Rephrased,"Due to the government's policy, Agniveers like Amritpal Singh are being denied the status of martyrs and military tributes.",Fact Check: Agniveer Amritpal Singh Did Not Get Military Honor Because He Committed Suicide,Fact Check: Agniveer Amritpal Singh Did Not Get Military Honor Because He Committed Suicide,"The Central Government is not giving martyr status to Agniveer, due to which Amritpal Singh was not given military honour."
Original,PM Modi appealed to vote for Congress,"Fact Check: PM Modi Did Not Appeal To Vote For Congress, Viral Video Is Edited","Fact Check: PM Modi Did Not Appeal To Vote For Congress, Viral Video Is Edited",PM Modi appealed to vote for Congress
Rephrased,Prime Minister Modi has made an appeal for casting votes in favor of the Congress party.,"Fact Check: PM Modi Did Not Appeal To Vote For Congress, Viral Video Is Edited",Fact Check: Old Video Of Prime Minister Modi Circulating With Misleading Claims About INDIA Alliance,PM Modi appealed to vote for Congress
Rephrased,There's been a call by PM Modi to the public to vote for Congress.,"Fact Check: PM Modi Did Not Appeal To Vote For Congress, Viral Video Is Edited",Fact Check: Viral Photos Of PM Modi And US President Joe Biden Are AI-Generated,PM Modi appealed to vote for Congress
Rephrased,PM Modi is said to have urged the electorate to support Congress at the polls.,"Fact Check: PM Modi Did Not Appeal To Vote For Congress, Viral Video Is Edited",Fact Check: Viral Photos Of PM Modi And US President Joe Biden Are AI-Generated,PM Modi appealed to vote for Congress
Original,"Mosque demolished in Morocco, yet Azaan continues",Fact-Check: Old Video Going Viral With Misleading Claims Linked To Morocco Earthquake,Fact-Check: Old Video Going Viral With Misleading Claims Linked To Morocco Earthquake,"Mosque demolished in Morocco, yet Azaan continues"
Rephrased,"Despite the demolition of a mosque in Morocco, the call to prayer persists.",Fact-Check: Old Video Going Viral With Misleading Claims Linked To Morocco Earthquake,Fact-Check: Old Video Going Viral With Misleading Claims Linked To Morocco Earthquake,"Mosque demolished in Morocco, yet Azaan continues"
Rephrased,"Even after a mosque was torn down in Morocco, the Azaan can still be heard.",Fact-Check: Old Video Going Viral With Misleading Claims Linked To Morocco Earthquake,Fact-Check: Old Video Going Viral With Misleading Claims Linked To Morocco Earthquake,"Mosque demolished in Morocco, yet Azaan continues"
Rephrased,The Azaan remains audible in spite of a mosque's destruction in Morocco.,Fact-Check: Old Video Going Viral With Misleading Claims Linked To Morocco Earthquake,Fact-Check: Old Video Going Viral With Misleading Claims Linked To Morocco Earthquake,"Mosque demolished in Morocco, yet Azaan continues"
Original,Fight between TDP and JSP leaders in Kakinada,"Fact Check: People Seen Fighting In Video Were Members Of TDP, Fake Claim Regarding JSP Viral","Fact Check: People Seen Fighting In Video Were Members Of TDP, Fake Claim Regarding JSP Viral",Fight between TDP and JSP leaders in Kakinada
Rephrased,Leaders from TDP and JSP were involved in a conflict in Kakinada.,"Fact Check: People Seen Fighting In Video Were Members Of TDP, Fake Claim Regarding JSP Viral","Fact Check: People Seen Fighting In Video Were Members Of TDP, Fake Claim Regarding JSP Viral",Fight between TDP and JSP leaders in Kakinada
Rephrased,A confrontation occurred in Kakinada involving members of TDP and JSP.,"Fact Check: People Seen Fighting In Video Were Members Of TDP, Fake Claim Regarding JSP Viral","Fact Check: People Seen Fighting In Video Were Members Of TDP, Fake Claim Regarding JSP Viral",Fight between TDP and JSP leaders in Kakinada
Rephrased,There was an altercation between representatives of TDP and JSP in Kakinada.,"Fact Check: People Seen Fighting In Video Were Members Of TDP, Fake Claim Regarding JSP Viral","Fact Check: People Seen Fighting In Video Were Members Of TDP, Fake Claim Regarding JSP Viral",Fight between TDP and JSP leaders in Kakinada
Original,Jawan Leaked Action Scene,Fact Check: Video From 2018 Bengali Film Going Viral as glimpse of Shahrukh Khan starrer 'Jawaan',Fact Check: Video From 2018 Bengali Film Going Viral as glimpse of Shahrukh Khan starrer 'Jawaan',Jawan Leaked Action Scene
Rephrased,A purported action sequence from 'Jawan' has been leaked.,Fact Check: Video From 2018 Bengali Film Going Viral as glimpse of Shahrukh Khan starrer 'Jawaan',Fact Check: Video From 2018 Bengali Film Going Viral as glimpse of Shahrukh Khan starrer 'Jawaan',Jawan Leaked Action Scene
Rephrased,A clip showing an action scene from the movie 'Jawan' has surfaced online unexpectedly.,Fact Check: Video From 2018 Bengali Film Going Viral as glimpse of Shahrukh Khan starrer 'Jawaan',Fact Check: Video From 2018 Bengali Film Going Viral as glimpse of Shahrukh Khan starrer 'Jawaan',Jawan Leaked Action Scene
Rephrased,Footage of an intense action segment from 'Jawan' was reportedly disclosed without authorization.,Fact Check: Video From 2018 Bengali Film Going Viral as glimpse of Shahrukh Khan starrer 'Jawaan',Fact Check: The video of the tapping exercise has nothing to do with Tata Memorial Hospital,Jawan Leaked Action Scene
Original,"This Quran was found in the deep sea, still intact",Fact Check: Crystallised Book Artwork Being Claimed As Holy Quran Recovered From Deep Sea,Fact Check: Crystallised Book Artwork Being Claimed As Holy Quran Recovered From Deep Sea,"This Quran was found in the deep sea, still intact"
Rephrased,A copy of the Quran was discovered preserved in the depths of the ocean.,Fact Check: Crystallised Book Artwork Being Claimed As Holy Quran Recovered From Deep Sea,Fact Check: Crystallised Book Artwork Being Claimed As Holy Quran Recovered From Deep Sea,"This Quran was found in the deep sea, still intact"
Rephrased,An intact Quran was reportedly unearthed from the deep sea.,Fact Check: Crystallised Book Artwork Being Claimed As Holy Quran Recovered From Deep Sea,Fact Check: Crystallised Book Artwork Being Claimed As Holy Quran Recovered From Deep Sea,"This Quran was found in the deep sea, still intact"
Rephrased,The Quran remains unscathed after being found submerged in the ocean's depths.,Fact Check: Crystallised Book Artwork Being Claimed As Holy Quran Recovered From Deep Sea,Fact Check: Crystallised Book Artwork Being Claimed As Holy Quran Recovered From Deep Sea,"This Quran was found in the deep sea, still intact"
Original,Group of trees look like the image of Prime Minister Modi,"Fact Check: This Image Of PM Modi, Emerging From The Group Of Trees, Is AI-Generated","Fact Check: This Image Of PM Modi, Emerging From The Group Of Trees, Is AI-Generated",Group of trees look like the image of Prime Minister Modi
Rephrased,A cluster of trees bears a resemblance to Prime Minister Modi's likeness.,"Fact Check: This Image Of PM Modi, Emerging From The Group Of Trees, Is AI-Generated","Fact Check: This Image Of PM Modi, Emerging From The Group Of Trees, Is AI-Generated",Group of trees look like the image of Prime Minister Modi
Rephrased,The arrangement of certain trees appears to form the image of PM Modi.,"Fact Check: This Image Of PM Modi, Emerging From The Group Of Trees, Is AI-Generated","Fact Check: This Image Of PM Modi, Emerging From The Group Of Trees, Is AI-Generated",Group of trees look like the image of Prime Minister Modi
Rephrased,Trees have been spotted that curiously mirror the visage of Prime Minister Modi.,"Fact Check: This Image Of PM Modi, Emerging From The Group Of Trees, Is AI-Generated","Fact Check: This Image Of PM Modi, Emerging From The Group Of Trees, Is AI-Generated",Group of trees look like the image of Prime Minister Modi
